HumanSymbol	chr	snp	locus	gene_biotype	MouseSymbol
RPS27P5	1	rs4653767	ITPKB	processed_pseudogene	NA
RPS29P33	9	rs13294100	SH3GL2	processed_pseudogene	NA
RPS2P32	7	rs199347	GPNMB	processed_pseudogene	NA
RPS3AP34	8	rs2740594	CTSB	processed_pseudogene	NA
RPS3AP35	8	rs2740594	CTSB	processed_pseudogene	NA
RPS7P11	17	rs17649553	MAPT	processed_pseudogene	NA
RPS7P3	1	rs10797576	SIPA1L2	processed_pseudogene	NA
RPS8P4	10	rs117896735	INPP5F	processed_pseudogene	NA
RPSAP13	14	rs11158026	GCH1	processed_pseudogene	NA
RPSAP17	1	rs35749011	GBA-SYT11	processed_pseudogene	NA
RPSAP31	3	rs12637471	MCCC1	transcribed_processed_pseudogene	NA
RPSAP7	10	rs10906923	FAM171A1	processed_pseudogene	NA
RPSAP7	10	rs7077361	ITGA8	processed_pseudogene	NA
RPSAP74	8	rs60298754	MMP16	processed_pseudogene	NA
RRP9	3	rs143918452	ALAS1	protein_coding	Rrp9
RSL24D1P1	6	rs9468199	ZNF184	processed_pseudogene	NA
RUNDC1	17	rs601999	ATP6V0A1	protein_coding	Rundc1
RUSC1	1	rs35749011	GBA-SYT11	protein_coding	Rusc1
RUSC1-AS1	1	rs35749011	GBA-SYT11	antisense	NA
RXFP4	1	rs35749011	GBA-SYT11	protein_coding	Rxfp4
RXRB	6	rs9275326	HLA-DBQ1	protein_coding	Rxrb
S1PR4	19	rs62120679	SPPL2B	protein_coding	S1pr4
SAMD4A	14	rs11158026	GCH1	protein_coding	Samd4
SAMM50P1	9	rs13294100	SH3GL2	processed_pseudogene	NA
SAMSN1	21	rs2823357	USP25	protein_coding	Samsn1
SAMSN1-AS1	21	rs2823357	USP25	antisense	NA
SAPCD1	6	rs9275326	HLA-DBQ1	protein_coding	Sapcd1
SAPCD1-AS1	6	rs9275326	HLA-DBQ1	antisense	NA
SATB1	3	rs4073221	SATB1	protein_coding	Satb1
SATB1-AS1	3	rs4073221	SATB1	processed_transcript	NA
SBNO1	12	rs11060180	CCDC62	protein_coding	Sbno1
SCAMP3	1	rs35749011	GBA-SYT11	protein_coding	Scamp3
SCAMP4	19	rs62120679	SPPL2B	protein_coding	Scamp4
SCARB2	4	rs6812193	FAM47E-SCARB2	protein_coding	Scarb2
SCARNA4	1	rs35749011	GBA-SYT11	scaRNA	NA
SCARNA7	3	rs34016896	NMD3	scaRNA	NA
SCN1A	2	rs353116	SCN3A	protein_coding	Scn1a
SCN2A	2	rs353116	SCN3A	protein_coding	Scn2a
SCN3A	2	rs353116	SCN3A	protein_coding	Scn3a
SCN9A	2	rs353116	SCN3A	protein_coding	Scn9a
SDAD1	4	rs6812193	FAM47E-SCARB2	protein_coding	Sdad1
SDE2	1	rs4653767	ITPKB	protein_coding	Sde2
SDR42E1P5	2	rs34043159	IL1R2	processed_pseudogene	NA
SEC23IP	10	rs117896735	INPP5F	protein_coding	Sec23ip
SEMA3G	3	rs143918452	ALAS1	protein_coding	Sema3g
SEMA4A	1	rs35749011	GBA-SYT11	protein_coding	Sema4a
SEPHS2	16	rs14235	BCKDK-STX1B	protein_coding	Sephs2
SEPT1	16	rs14235	BCKDK-STX1B	protein_coding	Sept1
SEPT11	4	rs6812193	FAM47E-SCARB2	protein_coding	Sept11
SERBP1P3	3	rs143918452	ALAS1	processed_pseudogene	NA
SETD1A	16	rs14235	BCKDK-STX1B	protein_coding	Setd1a
SETP21	5	rs2694528	ELOVL7	processed_pseudogene	NA
SF3A3P1	20	rs8118008	DDRGK1	processed_pseudogene	NA
SFMBT1	3	rs143918452	ALAS1	protein_coding	Sfmbt1
SFTPC	8	rs2280104	SORBS3	protein_coding	Sftpc
SFXN4	10	rs117896735	INPP5F	protein_coding	Sfxn4
SGCZ	8	rs591323	FGF20	protein_coding	Sgcz
SGTA	19	rs62120679	SPPL2B	protein_coding	Sgta
SH3GL2	9	rs13294100	SH3GL2	protein_coding	Sh3gl2
SHC1	1	rs35749011	GBA-SYT11	protein_coding	Shc1
SHE	1	rs35749011	GBA-SYT11	protein_coding	She
SHISA5	3	rs12497850	NCKIPSD	protein_coding	Shisa5
SHMT1	17	rs11868035	SREBF1-RAI1	protein_coding	Shmt1
SHROOM3	4	rs6812193	FAM47E-SCARB2	protein_coding	Shroom3
SIGLEC1	20	rs8118008	DDRGK1	protein_coding	Siglec1
SIPA1L2	1	rs10797576	SIPA1L2	protein_coding	Sipa1l2
SKIV2L	6	rs9275326	HLA-DBQ1	protein_coding	Skiv2l
SLBP	4	rs34311866	TMEM175-GAK-DGKQ	protein_coding	Slbp
SLC25A20	3	rs12497850	NCKIPSD	protein_coding	Slc25a20
SLC25A37	8	rs2280104	SORBS3	protein_coding	Slc25a37
SLC26A1	4	rs34311866	TMEM175-GAK-DGKQ	protein_coding	Slc26a1
SLC26A6	3	rs12497850	NCKIPSD	protein_coding	Slc26a6
SLC26A9	1	rs823118	RAB7L1-NUCKS1	protein_coding	Slc26a9
SLC2A13	12	rs76904798	LRRK2	protein_coding	Slc2a13
SLC38A11	2	rs353116	SCN3A	protein_coding	Slc38a11
SLC39A14	8	rs2280104	SORBS3	protein_coding	Slc39a14
SLC39A3	19	rs62120679	SPPL2B	protein_coding	Slc39a3
SLC39A7	6	rs9275326	HLA-DBQ1	protein_coding	Slc39a7
SLC41A1	1	rs823118	RAB7L1-NUCKS1	protein_coding	Slc41a1
SLC44A4	6	rs9275326	HLA-DBQ1	protein_coding	Slc44a4
SLC45A3	1	rs823118	RAB7L1-NUCKS1	protein_coding	Slc45a3
SLC4A11	20	rs8118008	DDRGK1	protein_coding	Slc4a11
SLC50A1	1	rs35749011	GBA-SYT11	protein_coding	Slc50a1
SLC5A2	16	rs14235	BCKDK-STX1B	protein_coding	Slc5a2
SLC7A2	8	rs591323	FGF20	protein_coding	Slc7a2
SLC9A2	2	rs34043159	IL1R2	protein_coding	Slc9a2
SLC9A4	2	rs34043159	IL1R2	protein_coding	Slc9a4
SLX1A-SULT1A3	16	rs14235	BCKDK-STX1B	processed_transcript	NA
SMARCC1	3	rs12497850	NCKIPSD	protein_coding	Smarcc1
SMC4	3	rs34016896	NMD3	protein_coding	Smc4
SMCR2	17	rs11868035	SREBF1-RAI1	lincRNA	NA
SMCR5	17	rs11868035	SREBF1-RAI1	antisense	NA
SMCR8	17	rs11868035	SREBF1-RAI1	protein_coding	Smcr8
SMG1	16	rs11343	COQ7	protein_coding	Smg1
SMG1P5	16	rs14235	BCKDK-STX1B	transcribed_unprocessed_pseudogene	NA
SMIM15	5	rs2694528	ELOVL7	protein_coding	Smim15
SMIM24	19	rs62120679	SPPL2B	protein_coding	Smim24
SMOX	20	rs8118008	DDRGK1	protein_coding	Smox
SNCA	4	rs356182	SNCA	protein_coding	Snca
SNCA-AS1	4	rs356182	SNCA	antisense	NA
SNORA19	10	rs117896735	INPP5F	snoRNA	NA
SNORA30	16	rs14235	BCKDK-STX1B	snoRNA	NA
SNORA38	6	rs9275326	HLA-DBQ1	snoRNA	NA
SNORA51	20	rs8118008	DDRGK1	snoRNA	NA
SNORA70E	11	rs3793947	DLG2	snoRNA	NA
SNORA70F	2	rs353116	SCN3A	snoRNA	NA
SNORA80E	1	rs35749011	GBA-SYT11	snoRNA	NA
SNORD110	20	rs8118008	DDRGK1	snoRNA	NA
SNORD117	6	rs9275326	HLA-DBQ1	snoRNA	NA
SNORD19	3	rs143918452	ALAS1	snoRNA	NA
SNORD19B	3	rs143918452	ALAS1	snoRNA	NA
SNORD48	6	rs9275326	HLA-DBQ1	snoRNA	NA
SNORD52	6	rs9275326	HLA-DBQ1	snoRNA	NA
SNORD56	20	rs8118008	DDRGK1	snoRNA	NA
SNORD57	20	rs8118008	DDRGK1	snoRNA	NA
SNORD69	3	rs143918452	ALAS1	snoRNA	NA
SNORD84	6	rs9275326	HLA-DBQ1	snoRNA	NA
SNORD86	20	rs8118008	DDRGK1	snoRNA	NA
SNORD89	2	rs34043159	IL1R2	snoRNA	NA
SNORD93	7	rs199347	GPNMB	snoRNA	NA
SNRNP35	12	rs11060180	CCDC62	protein_coding	Snrnp35
SNRPB	20	rs8118008	DDRGK1	protein_coding	Snrpb
SNRPEP3	16	rs11343	COQ7	processed_pseudogene	NA
SNRPFP4	3	rs12497850	NCKIPSD	processed_pseudogene	NA
SNRPGP10	1	rs823118	RAB7L1-NUCKS1	processed_pseudogene	NA
SNX5P1	4	rs6812193	FAM47E-SCARB2	processed_pseudogene	NA
SOCS4	14	rs11158026	GCH1	protein_coding	Socs4
SORBS3	8	rs2280104	SORBS3	protein_coding	Sorbs3
SOWAHB	4	rs6812193	FAM47E-SCARB2	protein_coding	Sowahb
SOX5P1	8	rs60298754	MMP16	processed_pseudogene	NA
SPATA19	11	rs329648	MIR4697	protein_coding	Spata19
SPATA32	17	rs17649553	MAPT	protein_coding	Spata32
SPATA7	14	rs8005172	GALC	protein_coding	Spata7
SPC25	2	rs1474055	STK39	protein_coding	Spc25
SPCS1	3	rs143918452	ALAS1	protein_coding	Spcs1
SPEF1	20	rs8118008	DDRGK1	protein_coding	Spef1
SPINK8	3	rs12497850	NCKIPSD	protein_coding	Spink8
SPON2	4	rs34311866	TMEM175-GAK-DGKQ	protein_coding	Spon2
SPPL2B	19	rs62120679	SPPL2B	protein_coding	Sppl2b
SPPL2C	17	rs17649553	MAPT	protein_coding	Sppl2c
SPTSSB	3	rs34016896	NMD3	protein_coding	Sptssb
SRCAP	16	rs14235	BCKDK-STX1B	protein_coding	Srcap
SREBF1	17	rs11868035	SREBF1-RAI1	protein_coding	Srebf1
SRGAP2	1	rs823118	RAB7L1-NUCKS1	protein_coding	Srgap2
SRP68P2	17	rs11868035	SREBF1-RAI1	processed_pseudogene	NA
SRP9	1	rs4653767	ITPKB	protein_coding	Srp9
SSR2	1	rs35749011	GBA-SYT11	protein_coding	Ssr2
STAB1	3	rs143918452	ALAS1	protein_coding	Stab1
STAT3	17	rs601999	ATP6V0A1	protein_coding	Stat3
STAT5A	17	rs601999	ATP6V0A1	protein_coding	Stat5a
STAT5B	17	rs601999	ATP6V0A1	protein_coding	Stat5b
STBD1	4	rs6812193	FAM47E-SCARB2	protein_coding	Stbd1
STK19	6	rs9275326	HLA-DBQ1	protein_coding	Stk19
STK19B	6	rs9275326	HLA-DBQ1	unprocessed_pseudogene	NA
STK31	7	rs199347	GPNMB	protein_coding	Stk31
STK39	2	rs1474055	STK39	protein_coding	Stk39
STUM	1	rs4653767	ITPKB	protein_coding	Stum
STX1B	16	rs14235	BCKDK-STX1B	protein_coding	Stx1b
STX4	16	rs14235	BCKDK-STX1B	protein_coding	Stx4a
SUB1P1	8	rs2740594	CTSB	processed_pseudogene	NA
SUV39H2	10	rs10906923	FAM171A1	protein_coding	Suv39h2
SUV39H2	10	rs7077361	ITGA8	protein_coding	Suv39h2
SYNGAP1	6	rs9275326	HLA-DBQ1	protein_coding	Syngap1
SYT11	1	rs35749011	GBA-SYT11	protein_coding	Syt11
SYT17	16	rs11343	COQ7	protein_coding	Syt17
SYT4	18	rs12456492	RIT2	protein_coding	Syt4
TACC3	4	rs34311866	TMEM175-GAK-DGKQ	protein_coding	Tacc3
TAP1	6	rs9275326	HLA-DBQ1	protein_coding	Tap1
TAP2	6	rs9275326	HLA-DBQ1	protein_coding	Tap2
TAPBP	6	rs9275326	HLA-DBQ1	protein_coding	Tapbp
TAPT1	4	rs11724635	BST1	protein_coding	Tapt1
TAPT1-AS1	4	rs11724635	BST1	antisense	NA
TBC1D10B	16	rs14235	BCKDK-STX1B	protein_coding	Tbc1d10b
TBC1D27	17	rs11868035	SREBF1-RAI1	transcribed_unprocessed_pseudogene	NA
TBC1D3P4	17	rs11868035	SREBF1-RAI1	unprocessed_pseudogene	NA
TBC1D5	3	rs4073221	SATB1	protein_coding	Tbc1d5
TBC1D8	2	rs34043159	IL1R2	protein_coding	Tbc1d8
TBPL2	14	rs11158026	GCH1	protein_coding	Tbpl2
TBXA2R	19	rs62120679	SPPL2B	protein_coding	Tbxa2r
TCEB1P28	19	rs62120679	SPPL2B	processed_pseudogene	NA
TCF3	19	rs62120679	SPPL2B	protein_coding	Tcf3
TCTA	3	rs12497850	NCKIPSD	protein_coding	Tcta
TCTN2	12	rs11060180	CCDC62	protein_coding	Tctn2
TDH	8	rs2740594	CTSB	transcribed_unitary_pseudogene	NA
TGFB1I1	16	rs14235	BCKDK-STX1B	protein_coding	Tgfb1i1
TGM3	20	rs8118008	DDRGK1	protein_coding	Tgm3
TGM6	20	rs8118008	DDRGK1	protein_coding	Tgm6
THBS3	1	rs35749011	GBA-SYT11	protein_coding	Thbs3
THOP1	19	rs62120679	SPPL2B	protein_coding	Thop1
THYN1	11	rs329648	MIR4697	protein_coding	Thyn1
TIAL1	10	rs117896735	INPP5F	protein_coding	Tial1
TIGD2	4	rs356182	SNCA	protein_coding	Tigd2
TIMM13	19	rs62120679	SPPL2B	protein_coding	Timm13
TKT	3	rs143918452	ALAS1	protein_coding	Tkt
TLE2	19	rs62120679	SPPL2B	protein_coding	Tle2
TLE6	19	rs62120679	SPPL2B	protein_coding	Tle6
TLN2	15	rs2414739	VPS13C	protein_coding	Tln2
TLR9	3	rs143918452	ALAS1	protein_coding	Tlr9
TMA7	3	rs12497850	NCKIPSD	protein_coding	Tma7
TMC2	20	rs8118008	DDRGK1	protein_coding	Tmc2
TMC5	16	rs11343	COQ7	protein_coding	Tmc5
TMC7	16	rs11343	COQ7	protein_coding	Tmc7
TMCC2	1	rs823118	RAB7L1-NUCKS1	protein_coding	Tmcc2
TMED11P	4	rs34311866	TMEM175-GAK-DGKQ	transcribed_unitary_pseudogene	NA
TMEM106A	17	rs601999	ATP6V0A1	protein_coding	Tmem106a
TMEM110-MUSTN1	3	rs143918452	ALAS1	protein_coding	Tmem110
TMEM129	4	rs34311866	TMEM175-GAK-DGKQ	protein_coding	Tmem129
TMEM163	2	rs6430538	ACMSD-TMEM163	protein_coding	Tmem163
TMEM175	4	rs34311866	TMEM175-GAK-DGKQ	protein_coding	Tmem175
TMEM182	2	rs34043159	IL1R2	protein_coding	Tmem182
TMEM229B	14	rs1555399	TMEM229B	protein_coding	Tmem229b
TMEM239	20	rs8118008	DDRGK1	protein_coding	Tmem239
TMEM63A	1	rs4653767	ITPKB	protein_coding	Tmem63a
TMEM81	1	rs823118	RAB7L1-NUCKS1	protein_coding	Tmem81
TMEM89	3	rs12497850	NCKIPSD	protein_coding	Tmem89
TMPRSS9	19	rs62120679	SPPL2B	protein_coding	Tmprss9
TNF	6	rs9275326	HLA-DBQ1	protein_coding	Tnf
TNFRSF10A	8	rs2280104	SORBS3	protein_coding	Tnfrsf10b
TNFRSF13B	17	rs11868035	SREBF1-RAI1	protein_coding	Tnfrsf13b
TNNC1	3	rs143918452	ALAS1	protein_coding	Tnnc1
TNPO1P2	17	rs11868035	SREBF1-RAI1	processed_pseudogene	NA
TNXA	6	rs9275326	HLA-DBQ1	unprocessed_pseudogene	NA
TNXB	6	rs9275326	HLA-DBQ1	protein_coding	Tnxb
TOB2P1	6	rs9468199	ZNF184	processed_pseudogene	NA
TOM1L2	17	rs11868035	SREBF1-RAI1	protein_coding	Tom1l2
TOMM7	7	rs199347	GPNMB	protein_coding	Tomm7
TOP3A	17	rs11868035	SREBF1-RAI1	protein_coding	Top3a
TOX3	16	rs4784227	TOX3	protein_coding	Tox3
TOX4P1	4	rs78738012	ANK2	processed_pseudogene	NA
TPM3	1	rs35749011	GBA-SYT11	protein_coding	Tpm3
TPT1P7	7	rs199347	GPNMB	processed_pseudogene	NA
TRA2A	7	rs199347	GPNMB	protein_coding	Tra2a
TREX1	3	rs12497850	NCKIPSD	protein_coding	Trex1
TRIM46	1	rs35749011	GBA-SYT11	protein_coding	Trim46
TRIM59	3	rs34016896	NMD3	protein_coding	Trim59
TRIM72	16	rs14235	BCKDK-STX1B	protein_coding	Trim72
TSEN15P1	17	rs11868035	SREBF1-RAI1	processed_pseudogene	NA
TSNAX	1	rs10797576	SIPA1L2	protein_coding	Tsnax
TTC21B	2	rs353116	SCN3A	protein_coding	Ttc21b
TTC21B-AS1	2	rs353116	SCN3A	processed_transcript	NA
TTC25	17	rs601999	ATP6V0A1	protein_coding	Ttc25
TTC8	14	rs8005172	GALC	protein_coding	Ttc8
TUBB8P10	1	rs4653767	ITPKB	unprocessed_pseudogene	NA
TUBB8P9	1	rs4653767	ITPKB	unprocessed_pseudogene	NA
TUBG1	17	rs601999	ATP6V0A1	protein_coding	Tubg1
TUBG2	17	rs601999	ATP6V0A1	protein_coding	Tubg2
TUSC3	8	rs591323	FGF20	protein_coding	Tusc3
TVP23B	17	rs11868035	SREBF1-RAI1	protein_coding	Tvp23b
TWF2	3	rs143918452	ALAS1	protein_coding	Twf2
TXNP1	10	rs117896735	INPP5F	processed_pseudogene	NA
TXNP6	4	rs6812193	FAM47E-SCARB2	processed_pseudogene	NA
UBE2Q1	1	rs35749011	GBA-SYT11	protein_coding	Ube2q1
UBE2Q1-AS1	1	rs35749011	GBA-SYT11	antisense	NA
UBE2SP2	17	rs11868035	SREBF1-RAI1	processed_pseudogene	NA
UBE2V1P1	20	rs8118008	DDRGK1	processed_pseudogene	NA
UBE2V1P6	2	rs1474055	STK39	processed_pseudogene	NA
UBOX5	20	rs8118008	DDRGK1	protein_coding	Ubox5
UBOX5-AS1	20	rs8118008	DDRGK1	antisense	NA
UBQLN4	1	rs35749011	GBA-SYT11	protein_coding	Ubqln4
UBXN4	2	rs6430538	ACMSD-TMEM163	protein_coding	Ubxn4
UCN2	3	rs12497850	NCKIPSD	protein_coding	Ucn2
UQCC2	6	rs9275326	HLA-DBQ1	protein_coding	Uqcc2
UQCR11	19	rs62120679	SPPL2B	protein_coding	Uqcr11
UQCRC1	3	rs12497850	NCKIPSD	protein_coding	Uqcrc1
UQCRHP1	6	rs9275326	HLA-DBQ1	processed_pseudogene	NA
USO1	4	rs6812193	FAM47E-SCARB2	protein_coding	Uso1
USP19	3	rs12497850	NCKIPSD	protein_coding	Usp19
USP25	21	rs2823357	USP25	protein_coding	Usp25
USP32P1	17	rs11868035	SREBF1-RAI1	transcribed_unprocessed_pseudogene	NA
USP32P2	17	rs11868035	SREBF1-RAI1	transcribed_unprocessed_pseudogene	NA
USP4	3	rs12497850	NCKIPSD	protein_coding	Usp4
UVSSA	4	rs34311866	TMEM175-GAK-DGKQ	protein_coding	Uvssa
VARS	6	rs9275326	HLA-DBQ1	protein_coding	Vars
VAT1	17	rs601999	ATP6V0A1	protein_coding	Vat1
VDAC2P1	21	rs2823357	USP25	processed_pseudogene	NA
VDAC2P4	2	rs6430538	ACMSD-TMEM163	processed_pseudogene	NA
VGLL3	3	rs115185635	KRT8P25-APOOP2	protein_coding	Vgll3
VKORC1	16	rs14235	BCKDK-STX1B	protein_coding	Vkorc1
VN1R10P	6	rs9468199	ZNF184	unprocessed_pseudogene	NA
VN1R11P	6	rs9468199	ZNF184	unitary_pseudogene	NA
VN1R12P	6	rs9468199	ZNF184	unitary_pseudogene	NA
VN1R13P	6	rs9468199	ZNF184	processed_pseudogene	NA
VN1R3	16	rs14235	BCKDK-STX1B	unitary_pseudogene	NA
VN1R64P	16	rs14235	BCKDK-STX1B	unitary_pseudogene	NA
VN1R65P	16	rs14235	BCKDK-STX1B	unitary_pseudogene	NA
VN1R66P	16	rs14235	BCKDK-STX1B	unprocessed_pseudogene	NA
VN1R67P	16	rs14235	BCKDK-STX1B	unitary_pseudogene	NA
VPS13C	15	rs2414739	VPS13C	protein_coding	Vps13c
VPS16	20	rs8118008	DDRGK1	protein_coding	Vps16
VPS25	17	rs601999	ATP6V0A1	protein_coding	Vps25
VPS26B	11	rs329648	MIR4697	protein_coding	Vps26b
VPS26BP1	3	rs12497850	NCKIPSD	processed_pseudogene	NA
VPS33A	12	rs11060180	CCDC62	protein_coding	Vps33a
VPS37A	8	rs591323	FGF20	protein_coding	Vps37a
VPS37B	12	rs11060180	CCDC62	protein_coding	Vps37b
VPS52	6	rs9275326	HLA-DBQ1	protein_coding	Vps52
VTA1P2	8	rs60298754	MMP16	processed_pseudogene	NA
VTI1B	14	rs1555399	TMEM229B	protein_coding	Vti1b
VWA7	6	rs9275326	HLA-DBQ1	protein_coding	Vwa7
WDHD1	14	rs11158026	GCH1	protein_coding	Wdhd1
WDR11-AS1	10	rs117896735	INPP5F	antisense	NA
WDR46	6	rs9275326	HLA-DBQ1	protein_coding	Wdr46
WDR6	3	rs12497850	NCKIPSD	protein_coding	Wdr6
WDR66	12	rs11060180	CCDC62	protein_coding	Wdr66
WDR82	3	rs143918452	ALAS1	protein_coding	Wdr82
WNK4	17	rs601999	ATP6V0A1	protein_coding	Wnk4
WNT3	17	rs17649553	MAPT	protein_coding	Wnt3
WNT9B	17	rs17649553	MAPT	protein_coding	Wnt9b
WRBP1	4	rs78738012	ANK2	transcribed_processed_pseudogene	NA
XIRP2	2	rs1474055	STK39	protein_coding	Xirp2
XKR6	8	rs2740594	CTSB	protein_coding	Xkr6
XPO7	8	rs2280104	SORBS3	protein_coding	Xpo7
YBX1P9	1	rs4653767	ITPKB	processed_pseudogene	NA
YEATS2	3	rs12637471	MCCC1	protein_coding	Yeats2
YEATS2-AS1	3	rs12637471	MCCC1	antisense	NA
YWHAEP2	17	rs11868035	SREBF1-RAI1	processed_pseudogene	NA
ZBTB12	6	rs9275326	HLA-DBQ1	protein_coding	Zbtb12
ZBTB22	6	rs9275326	HLA-DBQ1	protein_coding	Zbtb22
ZBTB7B	1	rs35749011	GBA-SYT11	protein_coding	Zbtb7b
ZBTB9	6	rs9275326	HLA-DBQ1	protein_coding	Zbtb9
ZC3H14	14	rs8005172	GALC	protein_coding	Zc3h14
ZCCHC8	12	rs11060180	CCDC62	protein_coding	Zcchc8
ZDHHC2	8	rs591323	FGF20	protein_coding	Zdhhc2
ZEB2P1	4	rs11724635	BST1	transcribed_processed_pseudogene	NA
ZFYVE26	14	rs1555399	TMEM229B	protein_coding	Zfyve26
ZGRF1	4	rs78738012	ANK2	protein_coding	Zgrf1
ZKSCAN3	6	rs9468199	ZNF184	protein_coding	Zkscan3
ZKSCAN8	6	rs9468199	ZNF184	protein_coding	Zkscan8
ZNF184	6	rs9468199	ZNF184	protein_coding	Zfp184
ZNF192P1	6	rs9468199	ZNF184	transcribed_unprocessed_pseudogene	NA
ZNF192P2	6	rs9468199	ZNF184	unprocessed_pseudogene	NA
ZNF204P	6	rs9468199	ZNF184	processed_pseudogene	NA
ZNF267	16	rs14235	BCKDK-STX1B	protein_coding	D3Ertd254e
ZNF48	16	rs14235	BCKDK-STX1B	protein_coding	Zfp553
ZNF519P4	4	rs34311866	TMEM175-GAK-DGKQ	processed_pseudogene	NA
ZNF595	4	rs34311866	TMEM175-GAK-DGKQ	protein_coding	Zfp595
ZNF602P	6	rs9468199	ZNF184	unprocessed_pseudogene	NA
ZNF603P	6	rs9468199	ZNF184	unprocessed_pseudogene	NA
ZNF629	16	rs14235	BCKDK-STX1B	protein_coding	Zfp629
ZNF646	16	rs14235	BCKDK-STX1B	protein_coding	Zfp646
ZNF654	3	rs115185635	KRT8P25-APOOP2	protein_coding	Zfp654
ZNF668	16	rs14235	BCKDK-STX1B	protein_coding	Zfp668
ZNF688	16	rs14235	BCKDK-STX1B	protein_coding	Zfp688
ZNF689	16	rs14235	BCKDK-STX1B	protein_coding	Zfp689
ZNF705CP	8	rs2740594	CTSB	unprocessed_pseudogene	NA
ZNF70P1	6	rs9275326	HLA-DBQ1	processed_pseudogene	NA
ZNF720P1	16	rs14235	BCKDK-STX1B	processed_pseudogene	NA
ZNF764	16	rs14235	BCKDK-STX1B	protein_coding	Zfp764
ZNF768	16	rs14235	BCKDK-STX1B	protein_coding	Zfp768
ZNF771	16	rs14235	BCKDK-STX1B	protein_coding	Zfp771
ZNF847P	1	rs4653767	ITPKB	unprocessed_pseudogene	NA
ZNF876P	4	rs34311866	TMEM175-GAK-DGKQ	transcribed_unprocessed_pseudogene	NA
ZRANB3	2	rs6430538	ACMSD-TMEM163	protein_coding	Zranb3
ZSCAN12	6	rs9468199	ZNF184	protein_coding	Zscan12
ZSCAN12P1	6	rs9468199	ZNF184	transcribed_unprocessed_pseudogene	NA
ZSCAN16-AS1	6	rs9468199	ZNF184	antisense	NA
ZSCAN26	6	rs9468199	ZNF184	protein_coding	Zscan26
ZSWIM6	5	rs2694528	ELOVL7	protein_coding	Zswim6
ABHD14A-ACY1	3	rs143918452	ALAS1	protein_coding	NA
AHSP	16	rs14235	BCKDK-STX1B	protein_coding	Ahsp
ANK2	4	rs78738012	ANK2	protein_coding	Ank2
AQP10	1	rs35749011	GBA-SYT11	protein_coding	NA
ARIH2OS	3	rs12497850	NCKIPSD	protein_coding	Arih2os
ARL17A	17	rs17649553	MAPT	protein_coding	NA
ARL17B	17	rs17649553	MAPT	protein_coding	NA
ATP5I	4	rs34311866	TMEM175-GAK-DGKQ	protein_coding	Atp5k
ATP6V1G2-DDX39B	6	rs9275326	HLA-DBQ1	protein_coding	
BOLA2B	16	rs14235	BCKDK-STX1B	protein_coding	Bola2
C12orf40	12	rs76904798	LRRK2	protein_coding	CN725425
C19orf35	19	rs62120679	SPPL2B	protein_coding	NA
C1orf186	1	rs823118	RAB7L1-NUCKS1	protein_coding	NA
C4A	6	rs9275326	HLA-DBQ1	protein_coding	NA
C4B	6	rs9275326	HLA-DBQ1	protein_coding	NA
C6orf10	6	rs9275326	HLA-DBQ1	protein_coding	BC051142
C6orf25	6	rs9275326	HLA-DBQ1	protein_coding	G6b
C6orf48	6	rs9275326	HLA-DBQ1	protein_coding	NA
CCDC71	3	rs12497850	NCKIPSD	protein_coding	Ccdc71
CLEC19A	16	rs11343	COQ7	protein_coding	NA
CRIPAK	4	rs34311866	TMEM175-GAK-DGKQ	protein_coding	NA
CXCL11	4	rs6812193	FAM47E-SCARB2	protein_coding	Cxcl11
CXCL9	4	rs6812193	FAM47E-SCARB2	protein_coding	Cxcl9
DAZAP1	19	rs62120679	SPPL2B	protein_coding	Dazap1
DCAF4L2	8	rs60298754	MMP16	protein_coding	NA
DEFB130	8	rs2740594	CTSB	protein_coding	NA
DEFB134	8	rs2740594	CTSB	protein_coding	NA
DEFB135	8	rs2740594	CTSB	protein_coding	NA
DEFB136	8	rs2740594	CTSB	protein_coding	NA
EIF1	17	rs601999	ATP6V0A1	protein_coding	Eif1
ENTPD4	8	rs2280104	SORBS3	protein_coding	NA
EVPLL	17	rs11868035	SREBF1-RAI1	protein_coding	NA
FAM106A	17	rs11868035	SREBF1-RAI1	protein_coding	NA
FAM134C	17	rs601999	ATP6V0A1	protein_coding	Retreg3
FAM13A	4	rs356182	SNCA	protein_coding	Fam13a
FAM188A	10	rs10906923	FAM171A1	protein_coding	Mindy3
FAM188A	10	rs7077361	ITGA8	protein_coding	Mindy3
FAM200B	4	rs11724635	BST1	protein_coding	NA
FAM47E-STBD1	4	rs6812193	FAM47E-SCARB2	protein_coding	NA
FAM86B1	8	rs2740594	CTSB	protein_coding	NA
FAM86B2	8	rs2740594	CTSB	protein_coding	NA
FBXW12	3	rs12497850	NCKIPSD	protein_coding	NA
FGFBP2	4	rs11724635	BST1	protein_coding	NA
FMNL1	17	rs17649553	MAPT	protein_coding	Fmnl1
FUS	16	rs14235	BCKDK-STX1B	protein_coding	Fus
GNRH2	20	rs8118008	DDRGK1	protein_coding	NA
H3F3A	1	rs4653767	ITPKB	protein_coding	NA
HCAR3	12	rs11060180	CCDC62	protein_coding	NA
HIST1H1B	6	rs9468199	ZNF184	protein_coding	Hist1h1b
HIST1H2AI	6	rs9468199	ZNF184	protein_coding	NA
HLA-DMB	6	rs9275326	HLA-DBQ1	protein_coding	NA
