HumanSymbol	MouseSymbol
LCN10	Lcn10
NME9	Nme9
CCDC36	Ccdc36
TREML1	Treml1
TMEM202	Tmem202
BPIFA3	Bpifa3
C4orf26	Gm1045
LCN12	Lcn12
CCDC190	Ccdc190
C9orf152	D630039A03Rik
C11orf87	AI593442
TAS2R42	Tas2r131
ZNF804B	Zfp804b
ZNF778	Zfp26
TMEM61	Tmem61
WDR72	Wdr72
AXDND1	Axdnd1
SYNE1	Syne1
NAV2	Nav2
C16orf92	4930451I11Rik
GPRIN3	Gprin3
ZNF605	Zfp605
QRFP	Qrfp
CCDC129	Ccdc129
KIF24	Kif24
CCDC57	Ccdc57
UTS2B	Uts2b
RUFY4	Rufy4
KLRG2	Klrg2
TEX45	Tex45
C17orf97	1700016K19Rik
LKAAEAR1	Lkaaear1
SOGA1	Soga1
KLHL33	Klhl33
C19orf68	6330408A02Rik
ILDR2	Ildr2
WEE2	Wee2
CERKL	Cerkl
C9orf131	1700022I11Rik
ZNF784	Zfp784
DOCK8	Dock8
APOBEC4	Apobec4
CEP85L	Cep85l
YY2	Yy2
SPAG17	Spag17
SCIMP	Scimp
TMEM207	Tmem207
KBTBD12	Kbtbd12
TOMM20L	Tomm20l
KRTDAP	Krtdap
C4orf50	Gm1043
BEND4	Bend4
AMTN	Amtn
SIGLEC15	Siglec15
TTC9	Ttc9
KIAA1328	AW554918
FAM169A	Fam169a
ZFHX2	Zfhx2
USP22	Usp22
SRGAP2	Srgap2
HSF5	Hsf5
SPATA45	Spata45
CXorf65	Gm614
IGSF23	Igsf23
TTLL8	Ttll8
GRAMD2A	Gramd2
SMIM24	Smim24
LYPD8	Lypd8
SLC6A19	Slc6a19
LRRC63	Lrrc63
C16orf91	BC003965
C11orf86	2010003K11Rik
STPG3	Stpg3
C2orf81	1700003E16Rik
C10orf120	4933402N03Rik
TMEM225	Tmem225
TMEM89	Tmem89
ZDBF2	Zdbf2
SAMD15	Samd15
SYCP2L	Sycp2l
FOXI3	Foxi3
FAM71F2	Fam71f2
FYB2	Fyb2
TMEM211	Tmem211
IQCM	Iqcm
CFAP157	Cfap157
TMEM235	Tmem235
INTS1	Ints1
SERPINE3	Serpine3
PARP10	Parp10
CFAP73	Cfap73
RAB44	Rab44
ATXN7L1	Atxn7l1
FER1L6	Fer1l6
GON7	Gon7
MYO18B	Myo18b
VGLL3	Vgll3
ARL16	Arl16
C12orf71	1700034J05Rik
PALM3	Palm3
NOTO	Noto
ARHGAP40	Arhgap40
RTL4	Zcchc16
C16orf96	4930562C15Rik
SIAH3	Siah3
TMEM232	Tmem232
TMEM247	Tmem247
STMND1	Stmnd1
TMEM233	Tmem233
PRTG	Prtg
LDLRAD1	Ldlrad1
LEKR1	Lekr1
ANKUB1	Ankub1
KCTD21	Kctd21
ZNF652	Zfp652
C2orf72	2810459M11Rik
LDLRAD2	Ldlrad2
MEIKIN	Meikin
FAM228A	Fam228a
C10orf71	3425401B19Rik
KPRP	Kprp
DBX2	Dbx2
MINOS1	Minos1
ARHGEF33	Arhgef33
ABCD1	Abcd1
ANK1	Ank1
CDK4	Cdk4
CDKN2A	Cdkn2a
CNGA1	Cnga1
COL3A1	Col3a1
COL5A1	Col5a1
SLC26A3	Slc26a3
FGFR3	Fgfr3
GCK	Gck
GUCY2D	Gucy2e
ITGB3	Itgb3
KRT18	Krt18
MPO	Mpo
PLG	Plg
PITX2	Pitx2
RPGR	Rpgr
SLC5A1	Slc5a1
ALDH3A2	Aldh3a2
KRT5	Krt5
MYL2	Myl2
CFTR	Cftr
COL10A1	Col10a1
FBP1	Fbp1
GALNS	Galns
LDLR	Ldlr
SLC11A2	Slc11a2
NOS2	Nos2
ADRA1B	Adra1b
ALAS1	Alas1
ALDH2	Aldh2
ALDH9A1	Aldh9a1
CACNA1C	Cacna1c
CHRNA5	Chrna5
CYP51A1	Cyp51
GABRD	Gabrd
HTR2B	Htr2b
ITGAX	Itgax
OXT	Oxt
P4HB	P4hb
ABCB1	Abcb1a
PPP3CA	Ppp3ca
CALHM1	Calhm1
DSG3	Dsg3
CAT	Cat
FMO1	Fmo1
RLN1	Rln1
IFNG	Ifng
STXBP2	Stxbp2
GNB1	Gnb1
RAB5C	Rab5c
GNAS	Gnas
SEC11A	Sec11a
SEC61A1	Sec61a1
GNAI2	Gnai2
CCL1	Ccl1
SLC6A3	Slc6a3
TACR2	Tacr2
ACPP	Acpp
ACTN1	Actn1
SLC25A5	Slc25a5
ANXA6	Anxa6
ABCC6	Abcc6
CAMK2D	Camk2d
CCNA2	Ccna2
CDK8	Cdk8
CDK9	Cdk9
RCC1	Rcc1
CHI3L1	Chil1
CSNK2B	Csnk2b
CTNND2	Ctnnd2
DOCK1	Dock1
DYRK1A	Dyrk1a
EN2	En2
ERN1	Ern1
ESRRG	Esrrg
GPC4	Gpc4
PRMT2	Prmt2
DNAJA1	Dnaja1
ABCA2	Abca2
ARF4	Arf4
ATP2B1	Atp2b1
BPGM	Bpgm
CDH8	Cdh8
CMA1	Cma1
COL2A1	Col2a1
COL19A1	Col19a1
CPA1	Cpa1
CPB2	Cpb2
CR2	Cr2
CRHR2	Crhr2
CST5	Cst10
CTSD	Ctsd
CYC1	Cyc1
DCTD	Dctd
SPEG	Speg
DRP2	Drp2
DUSP6	Dusp6
FLI1	Fli1
GNB3	Gnb3
GSK3B	Gsk3b
GTF3A	Gtf3a
CFHR1	Cfhr1
HK3	Hk3
HPCA	Hpca
TNC	Tnc
KCNJ13	Kcnj13
KDR	Kdr
KIF3C	Kif3c
KPNA1	Kpna1
KRT8	Krt8
KRT81	Krt81
LDHB	Ldhb
LMX1B	Lmx1b
LYN	Lyn
MARK3	Mark3
MIF	Mif
MSI1	Msi1
NRAS	Nras
OGDH	Ogdh
OPCML	Opcml
PAK3	Pak3
PAX7	Pax7
CDK17	Cdk17
PFKL	Pfkl
PGC	Pgc
PLAU	Plau
PLCG2	Plcg2
PLD2	Pld2
PNMT	Pnmt
POU2F2	Pou2f2
PRKCA	Prkca
PRKD1	Prkd1
PRKCZ	Prkcz
MAPK3	Mapk3
MAPK6	Mapk6
MAPK11	Mapk11
MAPK9	Mapk9
MAP2K6	Map2k6
PRPSAP1	Prpsap1
PSMB5	Psmb5
PSMD4	Psmd4
PTPRK	Ptprk
RAB6A	Rab6a
RAC2	Rac2
RANGAP1	Rangap1
RAP2B	Rap2b
RBBP7	Rbbp7
RPS6KA1	Rps6ka1
MAPK12	Mapk12
SCN7A	Scn7a
SET	Set
SRSF3	Srsf3
SH3GL1	Sh3gl1
SMARCA1	Smarca1
STAT5B	Stat5b
CDKL5	Cdkl5
SYT5	Syt5
TAF4	Taf4
THOP1	Thop1
TNNC2	Tnnc2
TNNC1	Tnnc1
TPT1	Tpt1
NR2C1	Nr2c1
TXNRD1	Txnrd1
UBE2V2	Ube2v2
EZR	Ezr
ZIC3	Zic3
ZNF174	Zfp174
PDHX	Pdhx
USP5	Usp5
SLC7A5	Slc7a5
DYRK3	Dyrk3
SMARCA5	Smarca5
CDC42BPA	Cdc42bpa
CDK10	Cdk10
DEGS1	Degs1
PCDHGB5	Pcdhgb5
SLC4A4	Slc4a4
STX19	Stx19
MYH13	Myh13
FBP2	Fbp2
SUCLG1	Suclg1
CDKL2	Cdkl2
CETN2	Cetn2
EMX1	Emx1
FASN	Fasn
GGT5	Ggt5
IDH3G	Idh3g
SLC9A3	Slc9a3
CDKL1	Cdkl1
P4HA2	P4ha2
AURKB	Aurkb
ZNF213	Zfp213
ACTL6A	Actl6a
BPHL	Bphl
CDC34	Cdc34
CSK	Csk
ENDOG	Endog
EPHA5	Epha5
GALNT3	Galnt3
HOXB7	Hoxb7
KIF5B	Kif5b
ROR2	Ror2
PPP2R2B	Ppp2r2b
MAPKAPK3	Mapkapk3
AP3B2	Ap3b2
KDM5D	Kdm5d
DDX3Y	Ddx3y
PAPSS2	Papss2
MTMR6	Mtmr6
LATS1	Lats1
KCNAB3	Kcnab3
LHX2	Lhx2
KIF3B	Kif3b
CIAO1	Ciao1
ABCG2	Abcg2
KLK4	Klk4
ACTN4	Actn4
CDH18	Cdh18
CDKN2B	Cdkn2b
KIF5A	Kif5a
MYO1E	Myo1e
PRCP	Prcp
PRKX	Prkx
PTBP3	Ptbp3
ABCD2	Abcd2
CA7	Car7
COL8A2	Col8a2
GFER	Gfer
GLUD1	Glud1
HADH	Hadh
HRAS	Hras
PDK3	Pdk3
ROCK1	Rock1
YES1	Yes1
GABBR2	Gabbr2
AKT3	Akt3
AP1M2	Ap1m2
LIMK2	Limk2
LMNB1	Lmnb1
S100A11	S100a11-ps
TAF11	Taf11
ZNF354A	Zfp354a
GPC6	Gpc6
HIPK3	Hipk3
LPAR6	Lpar6
LRRC17	Lrrc17
DCAF7	Dcaf7
DENND4A	Dennd4a
CD5L	Cd5l
SMAD3	Smad3
MDH2	Mdh2
MMP16	Mmp16
MTHFD1	Mthfd1
MYH10	Myh10
SKP2	Skp2
AKR1D1	Akr1d1
CDC42BPB	Cdc42bpb
HDAC4	Hdac4
IKZF1	Ikzf1
TUBB4A	Tubb4a
NDRG1	Ndrg1
MAN2A2	Man2a2
BMP1	Bmp1
CAPZA2	Capza2
DNAJB1	Dnajb1
PITPNA	Pitpna
PPEF2	Ppef2
PPEF1	Ppef1
PPP2R5A	Ppp2r5a
PPP2R5E	Ppp2r5e
PRKCD	Prkcd
PRKG1	Prkg1
STK4	Stk4
VRK2	Vrk2
SEC24B	Sec24b
SLC9A6	Slc9a6
AGPAT1	Agpat1
GNAI3	Gnai3
GNA13	Gna13
RRH	Rrh
CCT6B	Cct6b
TUBGCP2	Tubgcp2
MAN1A2	Man1a2
SPIN1	Spin1
TCEA1	Tcea1
UGT2A3	Ugt2a3
COPS5	Cops5
PDIA2	Pdia2
ADAP1	Adap1
DNMT3B	Dnmt3b
HOXA7	Hoxa7
PYCR1	Pycr1
RIT1	Rit1
RNF5	Rnf5
SCN3A	Scn3a
BTN2A2	Btn2a2
KATNA1	Katna1
WDHD1	Wdhd1
ABCA8	Abca8b
DDX19B	Ddx19b
STK38	Stk38
ACSS1	Acss1
RHOT2	Rhot2
CS	Cs
SORD	Sord
GPD1L	Gpd1l
PRELID3B	Prelid3b
USH1G	Ush1g
ADIPOR2	Adipor2
MAPRE1	Mapre1
PYCR3	Pycrl
USP12	Usp12
ATP2B2	Atp2b2
SIRT7	Sirt7
SLC25A28	Slc25a28
PGAM2	Pgam2
KIF5C	Kif5c
DHX33	Dhx33
CHMP1A	Chmp1a
DHX57	Dhx57
MYO1F	Myo1f
RECQL	Recql
ACSL4	Acsl4
FA2H	Fa2h
COPG2	Copg2
YIF1A	Yif1a
ATG4C	Atg4c
STK38L	Stk38l
SLC36A4	Slc36a4
LETM1	Letm1
ZDHHC17	Zdhhc17
GTF2A1	Gtf2a1
WWOX	Wwox
LETM2	Letm2
NCBP2	Ncbp2
APP	App
SLC7A3	Slc7a3
CACNA1A	Cacna1a
CD59	Cd59b
COL11A1	Col11a1
EGR1	Egr1
EPHA6	Epha6
LY6E	Ly6e
MAPKAPK2	Mapkapk2
MEIG1	Meig1
MYO6	Myo6
PAX5	Pax5
PRKCB	Prkcb
PLXNA1	Plxna1
PLXNA2	Plxna2
PPM1A	Ppm1a
PPP3CB	Ppp3cb
MAP2K3	Map2k3
RFNG	Rfng
SFRP2	Sfrp2
MAPK10	Mapk10
SLC22A12	Slc22a12
ZNF143	Zfp143
TSSK1B	Tssk1
SLC32A1	Slc32a1
ZSCAN2	Zscan2
AOC2	Aoc2
ATP10A	Atp10a
CRY2	Cry2
DES	Des
DHFR	Dhfr
EBF2	Ebf2
EBF3	Ebf3
HIPK1	Hipk1
IGFBP5	Igfbp5
IRX2	Irx2
KCNAB1	Kcnab1
KCNAB2	Kcnab2
SETD2	Setd2
LDHA	Ldha
LHX4	Lhx4
PSMB8	Psmb8
MYO15A	Myo15
SIX2	Six2
ABCC9	Abcc9
ATP6V0A2	Atp6v0a2
YWHAZ	Ywhaz
ZSCAN21	Zscan21
CORO1C	Coro1c
INSRR	Insrr
AADAT	Aadat
TENM1	Tenm1
TLL2	Tll2
CLCN7	Clcn7
MAP2K7	Map2k7
B3GAT3	B3gat3
MSRB2	Msrb2
SIRT1	Sirt1
SNW1	Snw1
SEPHS1	Sephs1
RAPGEF5	Rapgef5
KDM2A	Kdm2a
MAPRE3	Mapre3
OR8B8	Olfr145
PEF1	Pef1
SLC17A5	Slc17a5
USP21	Usp21
CAMK2A	Camk2a
GYS2	Gys2
CTNNA3	Ctnna3
GPSM2	Gpsm2
NPC1L1	Npc1l1
HSD17B8	H2-Ke6
PTPN6	Ptpn6
HPRT1	Hprt
LOXL3	Loxl3
OR51B2	Olfr64
RORA	Rora
UNCX	Uncx
IP6K1	Ip6k1
SLCO1A2	Slco1a5
ZNF354C	Zfp354c
NDUFS2	Ndufs2
FLVCR1	Mfsd7b
MRPL22	Mrpl22
SLC7A9	Slc7a9
GNL3	Gnl3
ATP2C1	Atp2c1
DKKL1	Dkkl1
UBE2S	Ube2s
TOR1B	Tor1b
LATS2	Lats2
ECE2	Ece2
DOCK4	Dock4
CTIF	Ctif
CUL7	Cul7
ELMO1	Elmo1
SRGAP3	Srgap3
NAV3	Nav3
AGAP1	Agap1
NLGN1	Nlgn1
RBM34	Rbm34
TLN2	Tln2
TBC1D2B	Tbc1d2b
RAP1GAP2	Rap1gap2
CUL9	Cul9
SMG1	Smg1
RAD54L2	Rad54l2
SYNE2	Syne2
CCDC28A	Ccdc28a
MTHFD1L	Mthfd1l
SEC31B	Sec31b
TKFC	Tkfc
SPATS2L	Spats2l
CHD5	Chd5
KLK13	Klk13
HERC4	Herc4
ZNF777	Zfp777
RRM2B	Rrm2b
DCAF8	Dcaf8
KLHL5	Klhl5
LUC7L2	Luc7l2
TMBIM4	Tmbim4
DESI2	Desi2
NIP7	Nip7
COPG1	Copg1
EVL	Evl
CPA4	Cpa4
ERAP1	Erap1
KCNK9	Kcnk9
MAPK8	Mapk8
KIF21A	Kif21a
MINK1	Mink1
PDE11A	Pde11a
KCNJ1	Kcnj1
TUBA8	Tuba8
SLC7A10	Slc7a10
RAB39A	Rab39
FBLIM1	Fblim1
DIRAS2	Diras2
FAM46C	Fam46c
PQLC2	Pqlc2
LIME1	Lime1
FAM206A	Fam206a
NLRP2	Nlrp2
EPN3	Epn3
ENOX1	Enox1
MAGOHB	Magohb
ASF1B	Asf1b
DHX32	Dhx32
SEPT11	Sept11
OGDHL	Ogdhl
RHOT1	Rhot1
SLC29A3	Slc29a3
TMEM106B	Tmem106b
WDR33	Wdr33
CHST11	Chst11
LRP1B	Lrp1b
TRPV6	Trpv6
DDX43	Ddx43
SULT1C3	Sult1c1
DNAH12	Dnah12
PCDHGA1	Pcdhga1
PCDHGA9	Pcdhga9
UBASH3A	Ubash3a
SNTG1	Sntg1
MOV10L1	Mov10l1
KRT20	Krt20
WDR44	Wdr44
FAM35A	Fam35a
EML4	Eml4
ARL15	Arl15
TBC1D1	Tbc1d1
CDH17	Cdh17
CBLN3	Cbln3
INPP5E	Inpp5e
KIF21B	Kif21b
SELENOK	Selenok
UGGT2	Uggt2
WDR93	Wdr93
FAM20C	Fam20c
SCAMP5	Scamp5
PDSS2	Pdss2
CHRNA10	Chrna10
ZNF286A	Zfp286
RHOJ	Rhoj
CLK4	Clk4
AARS2	Aars2
SRGAP1	Srgap1
SORCS2	Sorcs2
KLHL1	Klhl1
DTX2	Dtx2
ANK3	Ank3
SLC15A2	Slc15a2
CACNA1H	Cacna1h
GATAD1	Gatad1
ITGAD	Itgad
SPATA5	Spata5
PTPRT	Ptprt
PCBP4	Pcbp4
CHST6	Chst5
IP6K2	Ip6k2
EGLN1	Egln1
ABHD4	Abhd4
ATP13A2	Atp13a2
PRDM15	Prdm15
GOLPH3	Golph3
SMOC1	Smoc1
RTP4	Rtp4
ATL2	Atl2
CDH24	Cdh24
PIM3	Pim3
USP46	Usp46
PAPOLG	Papolg
NSD3	Nsd3
SLC9A3R2	Slc9a3r2
YIPF5	Yipf5
TNFSF13	Tnfsf13
PANK1	Pank1
NPFFR2	Npffr2
CAMKV	Camkv
TMPRSS3	Tmprss3
DDX50	Ddx50
WDR25	Wdr25
SLC52A2	Slc52a2
VCPKMT	Vcpkmt
GALNT14	Galnt14
TNFAIP8L2	Tnfaip8l2
PANK3	Pank3
DHX40	Dhx40
NARS2	Nars2
VASH2	Vash2
TTC21B	Ttc21b
NEK11	Nek11
ZNF613	Zfp157
CPED1	Cped1
DNAJB14	Dnajb14
DOCK5	Dock5
MOGAT2	Mogat2
RUBCNL	Rubcnl
OPA3	Opa3
SIK3	Sik3
NINL	Ninl
PBX4	Pbx4
PCBD1	Pcbd1
MRPS22	Mrps22
TIMM50	Timm50
ORMDL3	Ormdl3
RBM4B	Rbm4b
NKAPL	Nkapl
DUOXA2	Duoxa2
FAM220A	Fam220a
MRPS24	Mrps24
SLC25A30	Slc25a30
NARF	Narf
KIRREL3	Kirrel3
C6orf120	1600012H06Rik
ATP5G2	Atp5g2
OTUB2	Otub2
GSTO2	Gsto2
HAGHL	Haghl
DENND6B	Dennd6b
TLCD2	Tlcd2
SLC25A33	Slc25a33
TSSK4	Tssk4
TBC1D9	Tbc1d9
SLC39A5	Slc39a5
RRP1B	Rrp1b
CALR3	Calr3
NABP1	Nabp1
HERC3	Herc3
DPP8	Dpp8
CHMP4B	Chmp4b
ZDHHC20	Zdhhc20
MDH1B	Mdh1b
COL25A1	Col25a1
TMCO4	Tmco4
PRR7	Prr7
ITIH5	Itih5
ROPN1	Ropn1
LMAN2L	Lman2l
ACSBG2	Acsbg2
SLCO5A1	Slco5a1
ITGA1	Itga1
PGK2	Pgk2
SLC19A1	Slc19a1
APOOL	Apool
GIGYF1	Gigyf1
MARK4	Mark4
ANO3	Ano3
GUCD1	Gucd1
SLC25A18	Slc25a18
SV2C	Sv2c
TATDN1	Tatdn1
KALRN	Kalrn
GHSR	Ghsr
PCDHGA8	Pcdhga8
CAPNS2	Capns2
BRSK1	Brsk1
NT5C1A	Nt5c1a
SPINK7	Spink7
FAM126A	Fam126a
CNDP1	Cndp1
CBR4	Cbr4
C1orf94	CK137956
GAL3ST3	Gal3st3
ACPT	Acpt
SEPT8	Sept8
LCN15	Gm33749
ABCC12	Abcc12
MBOAT1	Mboat1
VARS2	Vars2
ABCC10	Abcc10
PPM1N	Ppm1n
SLC2A12	Slc2a12
WDR5	Wdr5
TXNRD3	Txnrd3
YIF1B	Yif1b
MOB1B	Mob1b
ITPRIP	Itprip
ZNF764	Zfp764
VANGL2	Vangl2
TSSK3	Tssk3
SLC25A25	Slc25a25
ESCO1	Esco1
GALNT13	Galnt13
FAM129A	Fam129a
AZIN2	Azin2
WNT16	Wnt16
MSI2	Msi2
NECAB2	Necab2
CPA5	Cpa5
TRPM3	Trpm3
ZDHHC14	Zdhhc14
RAB39B	Rab39b
EPHX4	Ephx4
TMEM120B	Tmem120b
DIS3L2	Dis3l2
AVL9	Avl9
PNPLA7	Pnpla7
LRIG3	Lrig3
SLC35F3	Slc35f3
SLC7A6	Slc7a6
SEPT6	Sept6
SNX32	Snx32
SLC8A3	Slc8a3
SLCO4C1	Slco4c1
ENPP6	Enpp6
LHX8	Lhx8
UNKL	Unkl
TMPPE	Tmppe
SLC39A13	Slc39a13
CHD3	Chd3
TMPRSS11A	Tmprss11a
ZNF280B	Zfp280b
TTBK2	Ttbk2
EFCAB5	Efcab5
ABRACL	Abracl
PAPD5	Papd5
WTIP	Wtip
ZNF704	Zfp704
ZFAND2A	Zfand2a
SLC25A47	Slc25a47
SPTSSB	Sptssb
MFSD14B	Mfsd14b
SMIM14	Smim14
VN1R4	Vmn1r237
SGSM1	Sgsm1
MED16	Med16
ZNF551	Zfp551
TM4SF19	Tm4sf19
CDK15	Cdk15
ADAMTSL1	Adamtsl1
CECR2	Cecr2
TANC2	Tanc2
SKOR2	Skor2
DHRS13	Dhrs13
TMEM184A	Tmem184a
ZSCAN25	Zscan25
DIRAS1	Diras1
MOB3C	Mob3c
ZNF627	Zfp867
SLC44A3	Slc44a3
SLC5A8	Slc5a8
RAB7B	Rab7b
GLYAT	Glyat
STARD13	Stard13
OR2A5	Olfr448
OR10Q1	Olfr1494
OR52W1	Olfr692
OR11L1	Olfr323
OR9A4	Olfr460
OR1M1	Olfr24
OR1J4	Olfr350
OR5B21	Olfr1444
OR8I2	Olfr1104
OR51M1	Olfr631
OR52N2	Olfr666
OR51G2	Olfr577
TARSL2	Tarsl2
SLC5A10	Slc5a10
ERICH6	Erich6
EGFLAM	Egflam
GOT1L1	Got1l1
ZNF664	Zfp664
ZNF583	Zfp583
PM20D1	Pm20d1
CCNYL1	Ccnyl1
ZNF567	Zfp300
CDC20B	Cdc20b
SCUBE3	Scube3
COL24A1	Col24a1
EBF4	Ebf4
NKAIN2	Nkain2
NLRP5	Nlrp5
PANK2	Pank2
ZBTB8B	Zbtb8b
CPNE7	Cpne7
KREMEN2	Kremen2
GALNTL6	Galntl6
RALGPS1	Ralgps1
SERHL2	Serhl
CEP68	Cep68
ADAMTS18	Adamts18
LRTM2	Lrtm2
NCOA7	Ncoa7
SERINC5	Serinc5
IP6K3	Ip6k3
KRT78	Krt78
DND1	Dnd1
FAM124B	Fam124b
CCDC149	Ccdc149
CLVS1	Clvs1
RTTN	Rttn
EOGT	Eogt
ZFP41	Zfp41
ARHGAP44	Arhgap44
PRSS58	Prss58
TAAR9	Taar9
RSPO4	Rspo4
CBX7	Cbx7
TMTC1	Tmtc1
TOGARAM2	Togaram2
ZNF629	Zfp629
ZNF12	Zfp12
TUSC5	Tusc5
SLC15A5	Slc15a5
LOC100507656	Zfp385c
METTL24	Mettl24
PLA2G4E	Pla2g4e
DSG4	Dsg4
LRRTM2	Lrrtm2
BSX	Bsx
RGMB	Rgmb
TMPRSS11F	Tmprss11f
STK32A	Stk32a
NSUN3	Nsun3
CCDC85A	Ccdc85a
QSOX2	Qsox2
BCL9L	Bcl9l
ANKDD1A	Ankdd1a
KIF9	Kif9
AP1S3	Ap1s3
NANOS3	Nanos3
SLC23A3	Slc23a3
PRR14L	Prr14l
MAFA	Mafa
DCAF17	Dcaf17
CSMD3	Csmd3
SH2D6	Sh2d6
LRRC75B	Lrrc75b
LRRC75A	Lrrc75a
KCTD1	Kctd1
OTUD3	Otud3
RPRML	Rprml
MYH7B	Myh7b
USH2A	Ush2a
SHISA6	Shisa6
C2orf66	Gm34066
MAST3	Mast3
HECW2	Hecw2
TNRC6B	Tnrc6b
EFR3B	Efr3b
STRIP2	Strip2
MARCH4	March4
MYSM1	Mysm1
ARL9	Arl9
OR52J3	Olfr592
AWAT1	Awat1
MYLK4	Mylk4
PITPNM3	Pitpnm3
KLHL29	Klhl29
C9orf3	2010111I01Rik
ARRDC5	Arrdc5
ZYG11A	Zyg11a
MKRN2OS	Mkrn2os
ARHGEF5	Arhgef5
FAT1	Fat1
TMEM185A	Tmem185a
SKIDA1	Skida1
PABPC4L	Pabpc4l
COL28A1	Col28a1
RNF217	Rnf217
LURAP1	Lurap1
FBXO43	Fbxo43
OR52L1	Olfr685
OR51B6	Olfr65
OR1J1	Olfr3
ANO4	Ano4
FAM135B	Fam135b
KRT80	Krt80
PLXNB2	Plxnb2
RBM44	Rbm44
KLHDC9	Klhdc9
DDHD2	Ddhd2
ZCCHC24	Zcchc24
TRIM72	Trim72
SP9	Sp9
PDE4DIP	Pde4dip
LIPN	Lipn
BPIFB4	Bpifb4
TMEM250	Tmem250-ps
TEX36	Tex36
FAM149B1	Fam149b
OR6Y1	Olfr220
ANO9	Ano9
NEMP2	Nemp2
MDC1	Mdc1
LNP1	Lnp1
TICRR	Ticrr
DNAH1	Dnah1
CCDC146	Ccdc146
ERICH6B	Erich6b
FAM110D	Grrp1
SERINC4	Serinc4
AHNAK	Ahnak
CBY3	Cby3
FABP12	Fabp12
NMS	Nms
EPHA10	Epha10
IQCF6	Iqcf6
AK9	Ak9
SDHAF1	Sdhaf1
SAMD3	Samd3
C3	C3
COL4A3	Col4a3
CYP1B1	Cyp1b1
GBA	Gba
LCAT	Lcat
MYH7	Myh7
RHAG	Rhag
RLBP1	Rlbp1
SLC2A2	Slc2a2
ABCC8	Abcc8
TCOF1	Tcof1
TNNT2	Tnnt2
AQP1	Aqp1
ABCC2	Abcc2
CTSK	Ctsk
CYBB	Cybb
MAT1A	Mat1a
PON1	Pon1
AMH	Amh
CYP1A1	Cyp1a1
CYP21A2	Cyp21a1
OPN1LW	Opn1mw
RHO	Rho
RYR1	Ryr1
SERPINE1	Serpine1
HTR2A	Htr2a
CXCR1	Cxcr1
ADH5	Adh5
ADRA1A	Adra1a
ALDH1A3	Aldh1a3
ATP4A	Atp4a
CYP1A2	Cyp1a2
CYP2E1	Cyp2e1
CYP2J2	Cyp2j6
CYP24A1	Cyp24a1
HPGD	Hpgd
IMPDH1	Impdh1
KLKB1	Klkb1
PPP3R1	Ppp3r1
RARB	Rarb
RPL23	Rpl23
RPL18A	Rpl18a
RPL19	Rpl19
RPL37	Rpl37
SLC35D2	Slc35d2
HEXDC	Hexdc
ZSCAN22	Zscan22
AP3B1	Ap3b1
TLR9	Tlr9
CPB1	Cpb1
KCNC1	Kcnc1
DUOX1	Duox1
LIPF	Lipf
RAB5A	Rab5a
RAN	Ran
UGT2B17	Ugt2b1
RPS9	Rps9
RPS24	Rps24
RPS28	Rps28
RYR3	Ryr3
TF	Trf
TKT	Tkt
AOC1	Aoc1
ANPEP	Anpep
ANXA4	Anxa4
AOX1	Aox1
AQP8	Aqp8
NKX3-2	Nkx3-2
ENTPD6	Entpd6
ENTPD3	Entpd3
CDC6	Cdc6
CDS1	Cds1
CHD1	Chd1
CHD4	Chd4
DECR1	Decr1
DNASE2	Dnase2a
FAAH	Faah
FMO5	Fmo5
HDAC2	Hdac2
HSPB2	Hspb2
MPPED2	Mpped2
ARF3	Arf3
RHOG	Rhog
ATP12A	Atp12a
ATP6V1B1	Atp6v1b1
ATP6V0C	Atp6v0c
CA5A	Car5a
CDK1	Cdk1
CKMT2	Ckmt2
CLCN4	Clcn4
CPS1	Cps1
CRYAB	Cryab
DDR1	Ddr1
ENO3	Eno3
ENPEP	Enpep
FMO4	Fmo4
GFPT1	Gfpt1
GNAL	Gnal
GOLGA1	Golga1
GOLGA4	Golga4
GSPT1	Gspt1
HAL	Hal
KCNH1	Kcnh1
KRT32	Krt32
KRT83	Krt83
RPSA	Rpsa
MYH8	Myh8
NRDC	Nrd1
NTSR1	Ntsr1
OR3A2	Olfr410
PDK2	Pdk2
PGD	Pgd
PIK3CG	Pik3cg
PLS1	Pls1
PPAT	Ppat
PPP6C	Ppp6c
PRPS1	Prps1
KLK6	Klk6
RARS	Rars
REG1A	Reg1
RING1	Ring1
RPA3	Rpa3
RYK	Ryk
SCTR	Sctr
SLC22A2	Slc22a2
SLC22A5	Slc22a5
SMARCC1	Smarcc1
SNRPN	Snrpn
SOX2	Sox2
SPINK1	Spink1
AURKC	Aurkc
SUPT4H1	Supt4a
TCEA2	Tcea2
TM7SF2	Tm7sf2
DNAJC7	Dnajc7
UBA52	Gm7866
UBE2A	Ube2a
ZNF202	Zfp202
CHIT1	Chit1
SYN3	Syn3
SPOP	Spop
SOAT2	Soat2
SERPINB7	Serpinb7
ABCC3	Abcc3
ADAM21	Adam21
GMPS	Gmps
ALDH1A2	Aldh1a2
FCGBP	Fcgbp
NAE1	Nae1
PHOX2B	Phox2b
USP13	Usp13
RPS6KB2	Rps6kb2
RPL14	Rpl14
RHOB	Rhob
FABP3	Fabp3
FKBP1B	Fkbp1b
RGS6	Rgs6
GNA14	Gna14
ALK	Alk
RUNX2	Runx2
CDH7	Cdh7
CLGN	Clgn
CREBBP	Crebbp
